test_id,object_id,noise_sigma,init_x,init_y,final_reward,num_steps
275,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
276,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
277,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
278,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
279,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
280,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
281,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
282,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
283,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
284,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
285,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
286,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
287,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
288,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
289,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
290,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
291,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
292,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
293,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
294,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
295,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
296,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
297,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
298,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
299,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
300,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
301,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
302,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
303,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
304,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
305,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
306,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
307,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
308,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
309,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
310,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
311,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
312,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
313,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
314,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
315,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
316,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
317,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
318,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
319,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
320,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
321,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
322,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
323,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
324,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
325,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
326,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
327,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
328,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
329,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
330,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
331,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
332,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
333,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
334,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
335,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
336,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
337,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
338,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
339,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
340,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
341,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
342,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
343,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
344,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
345,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
346,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
347,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
348,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
349,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
350,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
351,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
352,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
353,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
354,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
355,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
356,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
357,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
358,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
359,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
360,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
361,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
362,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
363,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
364,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
365,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
366,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
367,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
368,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
369,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
370,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
371,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
372,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
373,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
374,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
375,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
376,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
377,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
378,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
