test_id,object_id,noise_sigma,init_x,init_y,final_reward,num_steps
102,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
103,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
104,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
105,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
106,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
107,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
108,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
109,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
110,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
111,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
112,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
113,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
114,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
115,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
116,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
117,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
118,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
119,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
120,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
121,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
122,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
123,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
124,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
125,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
126,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
127,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
128,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
129,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
130,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
131,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
132,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
133,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
134,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
135,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
136,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
